Commit ID,User ,TimeStamp,Discription,Changed files,Lines addition,Lines Deletion
cab85a0,Kaiwalya Patil,"Sun, 31 May 2020 23:07:59 +0530","new entity adder, broken","	 1 file changed"," 105 insertions(+)	",
6fe061b,Kaiwalya Patil,"Sun, 31 May 2020 23:07:43 +0530","New index, little broken yet","	 1 file changed"," 189 insertions(+)	",
761f4ae,Kaiwalya Patil,"Sun, 31 May 2020 23:07:18 +0530",broken stuff,"	 1 file changed"," 12 deletions(-)	",
fded8f2,Kaiwalya Patil,"Sun, 31 May 2020 23:07:08 +0530",SOURCE: entity adder page,"	 1 file changed"," 9 insertions(+)	",
c5f6215,Kaiwalya Patil,"Sun, 31 May 2020 23:06:39 +0530",js revamp stuff,"	 2 files changed"," 1053 insertions(+)	",
010af35,Kaiwalya Patil,"Sun, 31 May 2020 23:06:25 +0530",js revamp stuff,"	 7 files changed"," 1136 insertions(+)	"," 0 deletions(-)	"
750dce8,Kaiwalya Patil,"Sun, 31 May 2020 23:06:10 +0530",bckg image,"	 1 file changed", 0 insertions(+),
20c9d9b,Kaiwalya Patil,"Sun, 31 May 2020 23:05:59 +0530",css revamp stuff,"	 7 files changed"," 2680 insertions(+)	"," 1 deletion(-)	"
c3db2e2,Kaiwalya Patil,"Sun, 31 May 2020 23:05:41 +0530",set on firestore,"	 1 file changed", 9 insertions(+)," 5 deletions(-)	"
9c7fa7d,Kaiwalya Patil,"Sun, 31 May 2020 23:05:25 +0530",uncommented diseases,"	 1 file changed", 7 insertions(+)," 6 deletions(-)	"
290368f,Kaiwalya Patil,"Sun, 31 May 2020 23:05:13 +0530",added papge to add entities,"	 1 file changed", 30 insertions(+)," 2 deletions(-)	"
1106c1b,Shikhar Maheshwari,"Sat, 30 May 2020 23:21:20 +0530",bill type,"	 2 files changed", 3 insertions(+)," 2 deletions(-)	"
1447db4,Kaiwalya Patil,"Sat, 30 May 2020 22:58:54 +0530",minor edits,"	 1 file changed", 5 insertions(+)," 1 deletion(-)	"
6098abf,Kaiwalya Patil,"Sat, 30 May 2020 22:58:43 +0530",button for other page,"	 1 file changed", 1 insertion(+)," 5 deletions(-)	"
42bf816,Kaiwalya Patil,"Sat, 30 May 2020 22:58:33 +0530",new start,"	 1 file changed", 25 insertions(+)," 8 deletions(-)	"
2c9ee29,Shikhar Maheshwari,"Fri, 29 May 2020 23:38:09 +0530",bac,"	 2 files changed", 22 insertions(+)," 15 deletions(-)	"
